DeviceName Voc(mV) Isc/(mA/cm2) FF(%) PCE(%) Concentration(mM) Annealing_T(°C) Molecular_Weight(u) Hydrogen_Bond_Donor_Count Hydrogen_Bond_Acceptor_Count Rotatable_Bond_Count Rigid_Bond_Count Topological_Polar_Surface_Area Complexity Heavy_Atom_Count Halide_fraction Heteroatom_carbon_ratio Heteroatom_count H_Count C_Count Cl_Count Br_Count I_Count
MEPEAI-15mM-100T-2-86-For 1057.76 8.18 23.18 2.0 15 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-15mM-100T-2-87-For 1054.4 7.86 22.74 1.89 15 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-15mM-100T-2-88-For 1069.64 9.26 25.49 2.52 15 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-15mM-100T-3-90-For 1018.9 4.26 20.14 0.87 15 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-15mM-100T-3-93-For 1015.28 4.82 19.11 0.94 15 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-15mM-100T-3-94-For 1002.31 4.33 18.51 0.8 15 100 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-20T-1-97-For 1132.02 20.44 52.55 12.16 10 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-20T-1-98-For 1125.31 14.92 44.76 7.52 10 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-20T-1-99-For 1124.06 17.96 52.69 10.64 10 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-20T-1-100-For 1131.0 24.18 69.85 19.11 10 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-20T-1-101-For 1125.62 23.56 64.78 17.18 10 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-20T-1-102-For 1145.68 23.87 51.59 14.11 10 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-20T-1-103-For 1124.72 14.02 34.88 5.5 10 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-20T-1-104-For 1102.81 18.65 51.23 10.54 10 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-20T-2-105-For 1057.7 4.68 27.6 1.37 10 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-20T-2-106-For 1032.5 4.76 22.66 1.11 10 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-20T-2-107-For 1019.22 4.74 21.67 1.05 10 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-20T-2-108-For 1074.23 6.07 33.52 2.18 10 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-20T-2-109-For 1061.49 4.07 28.54 1.23 10 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-20T-2-110-For 1037.77 6.08 23.36 1.47 10 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-20T-2-111-For 1056.05 7.94 24.79 2.08 10 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
MEPEAI-10mM-20T-2-112-For 1096.84 11.09 38.24 4.65 10 20 263.1208 1 1 2 6 27.64 82.7291 11 0.4823 0.2222 2 14 9 0 0 1
